kecamatan,kabupaten,provinsi,kecepatan_final,kategori_v2,indeks_kesenjangan_final,populasi_worldpop,alasan_urgensi,GID_3,kota_terdekat,jarak_kota_km,rata_rata_provinsi,persen_dibawah_provinsi,kecepatan_min,kecepatan_max,alasan_model,tetangga_baik_nama,tetangga_baik_kecepatan,tetangga_baik_jarak_km
Waropko,Boven Digoel,Papua,2253.09375,Cukup,0.7312067064192002,0.0,Populasi sangat jarang (lebih sepi dari 99% kecamatan indonesia) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 89% kecamatan lain) — memengaruhi sekitar 0 jiwa penduduk kecamatan ini.,IDN.23.3.19_1,Jayapura,332,24331.0,91,0,5728,Model menyimpulkan populasi rendah adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Tarup,44470,36
Long Apari,Kutai Barat,Kalimantan Timur,2339.151515151515,Cukup,0.730435435240099,3415.8916015625,Populasi sangat jarang (lebih sepi dari 90% kecamatan indonesia) dan akses jalan sangat minim (lebih sedikit dari 89% kecamatan lain) — memengaruhi sekitar 3.416 jiwa penduduk kecamatan ini.,IDN.34.5.8_1,Balikpapan,382,21229.0,89,0,5814,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Mentebah,25005,157
Mdona Hiera,Maluku Barat Daya,Maluku,2427.156862745098,Cukup,0.7296467093408592,1946.005859375,Akses jalan sangat minim (lebih sedikit dari 98% kecamatan lain) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 97% kecamatan lain) — memengaruhi sekitar 1.946 jiwa penduduk kecamatan ini.,IDN.19.5.4_1,Makassar,1107,20715.0,88,0,5902,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Selaru,31999,228
Orong Telu,Sumbawa,Nusa Tenggara Barat,2459.027777777778,Cukup,0.7293610742424691,1207.7347412109375,Populasi sangat jarang (lebih sepi dari 95% kecamatan indonesia) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 75% kecamatan lain) — memengaruhi sekitar 1.208 jiwa penduduk kecamatan ini.,IDN.20.10.17_1,Denpasar,218,27179.0,91,0,5934,Model menyimpulkan populasi rendah adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Lunyuk,26658,19
Edera,Mappi,Papua,2698.345238095238,Cukup,0.7272162514077888,17241.333984375,Aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 95% kecamatan lain) — memengaruhi sekitar 17.241 jiwa penduduk kecamatan ini.,IDN.23.15.3_1,Jayapura,526,24331.0,89,0,6173,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Nambioman Bapai,35582,61
Wakate,Seram Bagian Timur,Maluku,2906.2619047619046,Cukup,0.7253528503262893,1305.790771484375,Aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 100% kecamatan lain) dan populasi sangat jarang (lebih sepi dari 95% kecamatan indonesia) — memengaruhi sekitar 1.306 jiwa penduduk kecamatan ini.,IDN.19.10.5_1,Manado,1014,20715.0,86,0,6381,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Pulau Dullah Utara,29335,165
Tiom,Lanny Jaya,Papua,3018.007341269841,Cukup,0.7243513598225224,42203.46484375,Medan pegunungan tinggi (lebih tinggi dari 100% kecamatan lain) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 89% kecamatan lain) — memengaruhi sekitar 42.203 jiwa penduduk kecamatan ini.,IDN.23.12.9_1,Jayapura,310,24331.0,88,0,6493,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Malagaineri,28788,12
Saifi,Sorong Selatan,Papua Barat,3080.388888888889,Cukup,0.7237922808166758,2004.298583984375,Akses jalan sangat minim (lebih sedikit dari 94% kecamatan lain) dan populasi sangat jarang (lebih sepi dari 93% kecamatan indonesia) — memengaruhi sekitar 2.004 jiwa penduduk kecamatan ini.,IDN.22.7.9_1,Manado,843,21453.0,86,0,6555,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Seremuk,24499,14
Pp. Terselatan,Maluku Barat Daya,Maluku,3117.5793209876542,Cukup,0.7234589708781061,1956.6904296875,Aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 99% kecamatan lain) dan populasi sangat jarang (lebih sepi dari 93% kecamatan indonesia) — memengaruhi sekitar 1.957 jiwa penduduk kecamatan ini.,IDN.19.5.7_1,Makassar,926,20715.0,85,0,6593,Model menyimpulkan populasi rendah adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Alor Tengah Utara,29066,311
Akat,Asmat,Papua,3206.75,Cukup,0.7226598009877191,0.0,Populasi sangat jarang (lebih sepi dari 99% kecamatan indonesia) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 94% kecamatan lain) — memengaruhi sekitar 0 jiwa penduduk kecamatan ini.,IDN.23.1.2_1,Jayapura,383,24331.0,87,0,6682,Model menyimpulkan populasi rendah adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Wosak,54321,99
